path,title,contentId,artistContentId,artistName,completitionYear,yearAsString,width,image,height,artistUrl,url,dictionaries,location,period,serie,genre,material,style,technique,sizeX,sizeY,diameter,auction,yearOfTrade,lastPrice,galleryName,tags,description,for_model
wikiart-master/wiki_art_saved/rembrandt/meta/rembrandt.json,Old man with turban,220277,219933,Rembrandt,1625.0,1625.0,300,https://uploads0.wikiart.org/images/rembrandt/old-man-with-turban.jpg!Large.jpg,400,rembrandt,old-man-with-turban,"[400, 519]",,,,portrait,,Baroque,,20.0,,,,,,,"Forehead, Human",,1.0
wikiart-master/wiki_art_saved/rembrandt/meta/rembrandt.json,The Stoning Of St. Stephen,220670,219933,Rembrandt,1625.0,1625.0,1000,https://uploads2.wikiart.org/images/rembrandt/the-stoning-of-st-stephen-1625.jpg!Large.jpg,741,rembrandt,the-stoning-of-st-stephen-1625,"[400, 494]",,,,religious painting,,Baroque,,89.5,123.6,,,,,"Private Collection, Musée des Beaux-Arts de Lyon, Lyon, France","St.-Stephen, Mythology",,1.0
wikiart-master/wiki_art_saved/rembrandt/meta/rembrandt.json,The Sense Of Sight,220655,219933,Rembrandt,1625.0,1625.0,866,https://uploads8.wikiart.org/images/rembrandt/the-sense-of-sight.jpg!Large.jpg,1000,rembrandt,the-sense-of-sight,"[400, 502]",,,,genre painting,,Baroque,,21.0,,,,,,"Museum De Lakenhal, Leiden, Netherlands",,,1.0
wikiart-master/wiki_art_saved/rembrandt/meta/rembrandt.json,Artist in his Studio,220042,219933,Rembrandt,1626.0,1626.0,899,https://uploads6.wikiart.org/images/rembrandt/artist-in-his-studio-1626.jpg!Large.jpg,700,rembrandt,artist-in-his-studio-1626,"[400, 502]",,,,genre painting,,Baroque,,24.8,31.7,,,,,"Museum of Fine Arts (MFA), Boston, MA, US",,,1.0
wikiart-master/wiki_art_saved/rembrandt/meta/rembrandt.json,Balaam's Ass,220045,219933,Rembrandt,1626.0,1626.0,727,https://uploads7.wikiart.org/images/rembrandt/balaam-s-ass-1626.jpg!Large.jpg,1000,rembrandt,balaam-s-ass-1626,"[400, 494]",,,,religious painting,,Baroque,,63.0,46.5,,,,,"Musée Cognacq-Jay, Paris, France","Mythology, Prophet",,1.0
wikiart-master/wiki_art_saved/rembrandt/meta/rembrandt.json,Christ Driving the Moneychangers from the Temple,220097,219933,Rembrandt,1626.0,1626.0,753,https://uploads7.wikiart.org/images/rembrandt/christ-driving-the-moneychangers-from-the-temple-1626.jpg!Large.jpg,1000,rembrandt,christ-driving-the-moneychangers-from-the-temple-1626,"[400, 494]",,,,religious painting,,Baroque,,43.0,33.0,,,,,Private Collection,Purification-of-temple,,1.0
wikiart-master/wiki_art_saved/rembrandt/meta/rembrandt.json,History Painting,220159,219933,Rembrandt,1626.0,1626.0,1000,https://uploads2.wikiart.org/images/rembrandt/history-painting-1626.jpg!Large.jpg,740,rembrandt,history-painting-1626,"[400, 493]",,,,history painting,,Baroque,,90.1,121.3,,,,,Private Collection,"historical-events, Conquistador",,1.0
wikiart-master/wiki_art_saved/rembrandt/meta/rembrandt.json,Musical Allegory,220246,219933,Rembrandt,1626.0,1626.0,1201,https://uploads2.wikiart.org/images/rembrandt/musical-allegory-1626.jpg!Large.jpg,1600,rembrandt,musical-allegory-1626,"[400, 499]",,,,allegorical painting,,Baroque,,63.5,47.6,,,,,"Rijksmuseum, Amsterdam, Netherlands",,,1.0
wikiart-master/wiki_art_saved/rembrandt/meta/rembrandt.json,The Baptism Of The Eunuch,220570,219933,Rembrandt,1626.0,1626.0,754,https://uploads2.wikiart.org/images/rembrandt/the-baptism-of-the-eunuch-1626.jpg!Large.jpg,1000,rembrandt,the-baptism-of-the-eunuch-1626,"[400, 502]",,,,genre painting,,Baroque,,78.0,63.5,,,,,"Private Collection, Museum Catharijneconvent, Utrecht, Netherlands",Mythology,,1.0
wikiart-master/wiki_art_saved/rembrandt/meta/rembrandt.json,Two Studies of the Head of an Old Man,220715,219933,Rembrandt,1626.0,1626.0,640,https://uploads0.wikiart.org/images/rembrandt/two-studies-of-the-head-of-an-old-man.jpg!Large.jpg,382,rembrandt,two-studies-of-the-head-of-an-old-man,"[400, 1192]",,,,sketch and study,,Baroque,,,,,,,,"J. Paul Getty Museum, Los Angeles, CA, US","Sketch, Head, Chin, Facial hair, Figure drawing, Jaw, Beard",,
